name,city,website,body_comp_score,bone_density_score,blut_score,enrichment_status
Bioscientia Labor Ingelheim,Ingelheim am Rhein,https://bioscientia.de,0,0,0,success
MVZ Labor Dr. Limbach & Kollegen eGbR,Heidelberg,http://www.labor-limbach.de,0,0,4,success
MVZ Medizinisches Labor Nord MLN GmbH,Hamburg,https://www.mln.de,0,0,0,success
Medizinisches Labor Oldenburg,Oldenburg,https://www.medlab-oldenburg.de,0,0,0,success
Labor Dr. Krause & Kollegen MVZ GmbH,Kiel,http://www.labor-krause.de,0,0,0,success
"Institut für Laboratoriumsmedizin, Mikrobiologie und Transfusionsmedizin",Hamburg,https://dbknb.de/lab,0,0,0,success
Bioscientia Labor Berlin,Berlin,https://bioscientia.de,0,0,0,success
nordlab Partnerschaftspraxis für Laboratoriumsmedizin / Mikrobiologie,Braunschweig,https://www.nordlab.de/index.php/de,0,0,0,success
MDI Limbach Berlin GmbH,Berlin,https://www.mdi-limbach-berlin.de,0,0,0,success
Labor Staber Nürnberg,Nürnberg,http://www.labor-staber.de,0,0,3,success
MVZ Ganzimmun GmbH,Mainz,http://www.ganzimmun.de,0,0,0,success
MVZ Labor Limbach Bonn GmbH,Bonn,http://www.labor-limbach-bonn.de,0,0,0,success
Mein Labor Berlin,Berlin,https://mein.laborberlin.com,0,0,2,success
Labor Mohr,Kiel,http://www.labormohr.de,0,0,0,success
Ärztliche Laborgemeinschaft Neumünster,Neumünster,http://labor-krause.de,0,0,0,success
LADR Laborzentrum Nord,Flintbek,https://ladr.de/fachlabore/flintbek/kontakt,0,0,0,success
Laborgemeinschaft der Ärzte,Neubrandenburg,https://www.iflb.de/das-labor/laborgemeinschaften,0,0,0,success
IMD Labor Greifswald,Greifswald,http://www.imd-greifswald.de,0,0,0,success
MVZ Laboratoriumsmedizin Berlin Dres. med. Wisplinghoff und Kollegen,Berlin,https://www.wisplinghoff.de/das-labor/standort-berlin-mpu,0,0,0,success
UKSH Kiel | Hämatologie Labor,Kiel,http://www.uksh.de/haematologielabor-kiel,0,0,0,success
ZytoLabore regional Standort Kiel,Kronshagen,http://www.zytolabore.de,0,0,0,success
MVZ Labor Limbach VORPOMMERN-RÜGEN GmbH,Stralsund,https://www.labor-stralsund.de/metanavigation/kontakt/ansprechpartner,0,0,0,success
Institut für Klinische Chemie und Laboratoriumsmedizin,Greifswald,http://www.medizin.uni-greifswald.de/klinchem,0,0,0,failed
IGL Labor GmbH Institut für ganzheitliche Labordiagnostik,Wittbek,https://www.igl-labor.de,0,0,0,success
Ärztliche Laborgemeinschaft Heide,Heide,http://labor-krause.de,0,0,0,success
synlab Medizinisches Versorgungszentrum Bayreuth GmbH,Bayreuth,https://www.google.com/maps/search/?api=1&query=synlab%20Medizinisches%20Versorgungszentrum%20Bayreuth%20GmbH&query_place_id=ChIJ97sA58CioUcR8g03PW2ysQE,0,0,0,success
Labor Lang,Nürnberg,http://www.labor-lang.de,0,0,0,success
Labor ParaDocs,Argenbühl,http://www.laborparadocs.de,0,0,0,success
Labor Becker (Memmingen),Memmingen,http://www.labor-becker.de,0,0,0,success
Labor Enders,Stuttgart,https://www.labor-enders.de,0,0,0,success
Labor Augsburg MVZ GmbH,Augsburg,http://www.labor-augsburg-mvz.de,0,0,3,success
IMD Institut für Medizinische Diagnostik Berlin-Potsdam GbR,Berlin,https://www.imd-berlin.de,0,0,0,success
IFLb Laboratoriumsmedizin Berlin GmbH,Berlin,http://www.iflb.de,0,0,0,failed
MVZ Laborverbund GmbH,Hennigsdorf,http://www.hospital-laborverbund.com,0,0,1,success
IMD Labor Potsdam,Potsdam,http://www.imd-potsdam.de,0,0,3,success
Labor Potsdam,Potsdam,http://laborpotsdam.de,0,0,0,success
Hauptstadtlabor Berlin,Berlin,https://www.hauptstadtlabor-berlin.de,0,0,0,success
Medlab Mitte – Labor des MVZ Ärztehaus Mitte,Berlin,https://www.google.com/maps/search/?api=1&query=Medlab%20Mitte%20%E2%80%93%20Labor%20des%20MVZ%20%C3%84rztehaus%20Mitte&query_place_id=ChIJI_RvT89RqEcRq_-qSEs9Ktg,0,0,0,success
IHP Labor Berlin,Berlin,https://www.ihp-labor.de,0,0,0,success
ATOS MVZ Kantpraxis Berlin,Berlin,https://www.kantpraxis.de,0,0,0,success
Labor im CfG - Exklusiv für Versicherte der AOK Nordost und Selbstzahlende,Berlin,https://nordost.aok.de/inhalt/labor-im-centrum-fuer-gesundheit,0,0,3,success
KORMANN LAB,Tübingen,https://www.google.com/maps/search/?api=1&query=KORMANN%20LAB&query_place_id=ChIJleJz7i3lmUcRA2GirHML9uI,0,0,0,success
Fluentes Labor für integrierte Diagnostik GmbH,Berlin,http://www.fluentes.de,0,0,0,success
Berater Das Labor. GmbH,Potsdam,https://www.daslabor.com,0,0,0,success
meineLaborwerte | Spandau,Berlin,https://www.meinelaborwerte.com,0,0,2,success
Institut für Laboratoriumsmedizin,Brandenburg an der Havel,http://www.labor-brandenburg.de,0,0,0,success
Citolabor Berlin Neukölln,Berlin,https://www.bioscientia.de,0,0,0,success
Analytisches Zentrum Biopharm GmbH Berlin,Berlin,http://www.az-biopharm.de,0,0,0,success
Medz. Versorgzent. Labor,Berlin,https://www.google.com/maps/search/?api=1&query=Medz.%20Versorgzent.%20Labor&query_place_id=ChIJK3xUuG1SqEcRaZXE8v_e60Y,0,0,0,success
Laborbetreuung IMD GmbH,Berlin,https://www.google.com/maps/search/?api=1&query=Laborbetreuung%20IMD%20GmbH&query_place_id=ChIJuTn5KZVaqEcRW5MQkSGSifs,0,0,0,success
MEDICALAB Berlin - Labor für medizinische Diagnostik,Berlin,https://www.atos-labor.de,0,0,0,success
MVZ Windscheidstraße,Berlin,https://www.iflb.de/service/blutentnahmestelle,0,0,1,success
Haus 222 - Labormedizin/ Mikrobiologie/ Hämatologisches Speziallabor,Berlin,https://www.google.com/maps/search/?api=1&query=Haus%20222%20-%20Labormedizin%2F%20Mikrobiologie%2F%20H%C3%A4matologisches%20Speziallabor&query_place_id=ChIJ9TaSQ22zqUcReygU3sHieaE,0,0,0,success
LADR Laborzentrum an den Immanuel Kliniken | Zweigpraxis Bernau,Bernau bei Berlin,https://www.ladr.de/ein-starker-verbund/labor-vor-ort/facharztlabore/bernau,0,0,0,success
LADR Medizinisches Versorgungszentrum Berlin,Berlin,http://www.ladr.de,0,2,0,success
Dr. Rölleke Labor,Potsdam,http://www.dr-roelleke.de,0,0,2,success
ALAB GmbH Analyselabor in Berlin,Berlin,http://www.alab-berlin.de,0,0,2,success
Lyvy,Berlin,https://www.lyvy.de,0,0,0,success
ProfiLab24 GmbH,Berlin,https://profilab24.com,0,0,0,success
Labor Becker (Bamberg),Bamberg,http://www.labor-becker.de,0,0,0,success
Chemisches Labor,Schonungen,http://www.labor-graser.de,0,0,0,success
